123 Ready Set Grow Academy,"4106 Castle Canyon Ct., Antioch, CA 94531",Laura Rodriguez,Yellow,laura@tandembayarea.org
"ABJ Learn ""N"" Play Fun House","803 Wilmore Ave, Concord, CA 94518",Lucy Parada,Green,lucy@tandembayarea.org
Ameneh's FCC,"1063 Rudgear Rd, Walnut Creek, CA 94596",Lucy Parada,Green,lucy@tandembayarea.org
Angels Montessori,"1566 Bailey Rd, Concord, CA 94521",Lucy Parada,Green,lucy@tandembayarea.org
Antioch First 5 Center,"512 W. 5th Street, Antioch, CA 94509",Laura Rodriguez,Green,laura@tandembayarea.org
Atti's Childcare,"550 Vili Way, Pleasant Hill, CA 94523",Laura Rodriguez,Yellow,laura@tandembayarea.org
Auntie Dobbles Kids,"5006 Reid Court, Richmond, CA 94804",Lucy Parada,Yellow,lucy@tandembayarea.org
Bay Point First 5 Center,"3225 Willowpass Rd., Bay Point, CA 94565",Laura Rodriguez,Green,laura@tandembayarea.org
Bayview Elementary,"3001 16th St., San Pablo, CA 94806",Lucy Parada,Yellow,lucy@tandembayarea.org
Benu's FCC,"1363 Meadow Glen Way, Condord, CA 94521",Lucy Parada,Green,lucy@tandembayarea.org
Best Beginnings FCC,"2171 Rancho Way, Pittsburg, CA 94565",Laura Rodriguez,Green,laura@tandembayarea.org
Big Bertha's Family Child Care,"2712 Balboa Ct., Antioch, CA 94509",Laura Rodriguez,Green,laura@tandembayarea.org
Brenda's Kidz Kare,"227 17th Street, Richmond, CA 94801",Lucy Parada,Green,lucy@tandembayarea.org
Building Blocks Children's Center,"1015 Oak Grove Road, Concord, CA 94518",Lucy Parada,Green,lucy@tandembayarea.org
Cambridge Community Child Care Center,"1146 Lacey Lane, Concord, CA 94520",Lucy Parada,Green,lucy@tandembayarea.org
Camel Kidz Clubhouse,"4096 Montgomery Hill Dr., Antioch, CA 94531",Laura Rodriguez,Green,laura@tandembayarea.org
Casa de Ninos,"1809 Key Blvd., El Cerrito, CA 94530",Lucy Parada,Green,lucy@tandembayarea.org
Chavez Elementary,"960 17th St., Richmond, CA 94801",Lucy Parada,Green,lucy@tandembayarea.org
Chavez Elementary School,"960 17th St, Richmond, CA 94801",Lucy Parada,New,lucy@tandembayarea.org
Child Day Schools,"112 E. Tregallas Road, Antioch, CA 94509",Laura Rodriguez,Green,laura@tandembayarea.org
Concord Child Care Center,"1360 Detroit Ave., Concord, CA 94520",Lucy Parada,Green,lucy@tandembayarea.org
Contra Costa College Early Learning Center,"2600 Mission Bell Drive, San Pablo, CA 94805",Lucy Parada,Green,lucy@tandembayarea.org
Coronado Elementary,"2001 Virginia Ave., Richmond, CA 94804",Lucy Parada,Red,lucy@tandembayarea.org
Crossroads Necessary Small High School/Parent Ed,"2701 Willow Pass Rd, Concord, CA 94519",Laura Rodriguez,New,laura@tandembayarea.org
Cultivating Kids,"87 Crystal Circle, Hercules, CA 94547",Lucy Parada,Green,lucy@tandembayarea.org
Danny's Day Care,"1319 Steinbeck Dr., Pittsburg, CA 94565",Laura Rodriguez,Green,laura@tandembayarea.org
Delta First 5 Center,"760 1st Street, Brentwood, CA 94513",Laura Rodriguez,Green,laura@tandembayarea.org
Donna's Tot Along Daycare,"873 4th Street, Rodeo, CA 94572",Lucy Parada,Green,lucy@tandembayarea.org
Dover Elementary,"1871 21st St., San Pablo, CA 94806",Lucy Parada,Green,lucy@tandembayarea.org
Downer Elementary,"1231 18th St., San Pablo, CA 94806",Lucy Parada,Green,lucy@tandembayarea.org
Farideh's Daycare,"62 Fountainhead Ct., Martinez, CA 94553",Laura Rodriguez,Green,laura@tandembayarea.org
Felts Family Childcare,"2914 Gilma Dr., Richmond, CA 94806",Lucy Parada,Green,lucy@tandembayarea.org
First Baptist Head Start - Fairgrounds,"1203 W. 10th Street, Antioch, CA 94509",Laura Rodriguez,Yellow,laura@tandembayarea.org
First Baptist Head Start - Kids Castle,"55 Castlewood Dr., Pittsburg, CA 94565",Laura Rodriguez,Green,laura@tandembayarea.org
First Memories Family Chldcare,"3750 Roundhill Dr., Pittsburg, CA 94565",Laura Rodriguez,Green,laura@tandembayarea.org
Foothill Elementary,"1200 Jensen Dr., Pittsburg, CA 94565",Laura Rodriguez,Green,laura@tandembayarea.org
Ford Elementary,"2711 Maricopa Ave, Richmond, CA 94804",Lucy Parada,Green,lucy@tandembayarea.org
God's Little Angels Daycare,"1250 Brooktrail Dr., Pittsburg, CA 94565",Laura Rodriguez,Green,laura@tandembayarea.org
Grant Elementary,"2400 Downer Ave., Richmond, CA 94804",Lucy Parada,Green,lucy@tandembayarea.org
Gulzarin Engineer's Family Childcare,"4600 Spinnaker Way, Discovery Bay, CA 94514",Laura Rodriguez,Green,laura@tandembayarea.org
Happy Days Family Daycare,"1519 Freed Circle, Pittsburg, CA 94565",Laura Rodriguez,Green,laura@tandembayarea.org
Heights Elementary,"163 West Blvd., Pittsburg, CA 94565",Laura Rodriguez,Green,laura@tandembayarea.org
Hidden Treasures Learning Center,"1920 Gelbke Lane, Concord, CA 94520",Lucy Parada,Yellow,lucy@tandembayarea.org
Highland Elementary,"2829 Moyers Road, Richmond, CA 94806",Lucy Parada,Green,lucy@tandembayarea.org
Highlands Elementary,"4141 Harbor St, Pittsburg, CA 94565",Laura Rodriguez,Green,laura@tandembayarea.org
Home Away From Home Daycare,"119 Adela Ct., Pleasant Hill, CA 94523",Laura Rodriguez,Green,laura@tandembayarea.org
Hope Preschool,"2830 May Road, El Sobrante, CA 94803",Lucy Parada,Green,lucy@tandembayarea.org
Hummingbird Preschool Academy,"1717 Oak Park Blvd, Pleasant Hill, CA 94523",Laura Rodriguez,Green,laura@tandembayarea.org
Jacquie's Kids Child Care,"5200 Lone Tree Way, Antioch, CA 94531",Laura Rodriguez,Green,laura@tandembayarea.org
Khulood's Daycare,"1707 Mary Dr., Pleasant Hill, CA 94523",Laura Rodriguez,Green,laura@tandembayarea.org
Kids First Academy,"2430 Willow Pass Road, Bay Point, CA 94565",Laura Rodriguez,Red,laura@tandembayarea.org
King Elementary,"4022 Florida Ave. Room 114, Richmond, CA 94804",Lucy Parada,Green,lucy@tandembayarea.org
Kings Kids Child Care,"438 Vallejo Ave., Rodeo, CA 94572",Lucy Parada,Green,lucy@tandembayarea.org
Kisa Sims-Carr FCC,"3220 Annapolis Ave., Richmond, CA 94806",Lucy Parada,Yellow,lucy@tandembayarea.org
La Casita Bilingual Montessori,"592 Tennent Ave., Pinole, CA 94564",Lucy Parada,Green,lucy@tandembayarea.org
La Maison des Petits,"5545 Louisiana Dr., Concord, CA 94521",Lucy Parada,Green,lucy@tandembayarea.org
La Petite Academy,"1350 E. Tregallis, Antioch, CA 94509",Laura Rodriguez,Green,laura@tandembayarea.org
Lincoln Elementary,"29 6th St., Richmond, CA 94801",Lucy Parada,Red,lucy@tandembayarea.org
Little Angels Country School,"1816 Hillcrest Ave., Antioch, CA 94509",Laura Rodriguez,Green,laura@tandembayarea.org
Little Munchkins Academy,"175 Tanager Way, Hercules, CA 94547",Lucy Parada,Green,lucy@tandembayarea.org
Little People's Day Care,"934 Carpino Ave., Pittsburg, CA 94565",Laura Rodriguez,Yellow,laura@tandembayarea.org
Little Sprouts Family Daycare,"1209 Silverton Way, Brentwood, CA 94513",Laura Rodriguez,Yellow,laura@tandembayarea.org
Little Sweet Peas,"1420 Amador St., San Pablo, CA 94806",Lucy Parada,Green,lucy@tandembayarea.org
Little Wonders Preschool,"614 Gingham Way, Oakley, CA 94561",Laura Rodriguez,Green,laura@tandembayarea.org
Los Medanos Child Study Center,"2700 East Leland Road, Pittsburg, CA 94565",Laura Rodriguez,Green,laura@tandembayarea.org
Los Medanos Elementary,"610 Crowley Ave., Pittsburg, CA 94565",Laura Rodriguez,Green,laura@tandembayarea.org
Lucy's Family Child Care & Preschool,"1931 Mayette Ave., Concord, CA 94520",Lucy Parada,Green,lucy@tandembayarea.org
Luv Muffins Day Care,"98 Water St., Bay Point, CA 94565",Laura Rodriguez,Green,laura@tandembayarea.org
Marina Vista Elementary,"50 E. 8th St., Pittsburg, CA 94565",Laura Rodriguez,Green,laura@tandembayarea.org
Martha's Family Day Care,"609 Lindley Dr., Antioch, CA 94509",Laura Rodriguez,Green,laura@tandembayarea.org
Martinez Early Childhood Center,"615 Arch St, Martinez, CA 94553",Laura Rodriguez,Green,laura@tandembayarea.org
Mary's Family Child Care & Preschool,"616 Minert Rd. (old address), Walnut Creek, CA 94598",Lucy Parada,Green,lucy@tandembayarea.org
MDAE Family Literacy Preschool - Belair,"663 Canal Rd, Bay Point, CA 94565",Laura Rodriguez,Yellow,laura@tandembayarea.org
MDAE Family Literacy Preschool - Cambridge,"1135 Lacey Lane, Concord, CA 94520",Lucy Parada,Yellow,lucy@tandembayarea.org
MDAE Family Literacy Preschool - Fairoaks,"2400 Lisa Lane, Pleasant Hill, CA 94523",Laura Rodriguez,Yellow,laura@tandembayarea.org
MDAE Family Literacy Preschool - Loma Vista,"1266 San Carlos Ave, Concord, CA 94518",Lucy Parada,Yellow,lucy@tandembayarea.org
MDAE Family Literacy Preschool - Meadow Homes,"1371 Detroit Ave, Concord, CA 94520",Lucy Parada,Yellow,lucy@tandembayarea.org
MDAE Family Literacy Preschool - Shore Acres,"351 Marina Rd, Bay Point, CA 94565",Laura Rodriguez,Yellow,laura@tandembayarea.org
Mona's Day Care,"2419 Geraldine Dr., Pleasant HIll, CA 94523",Laura Rodriguez,Green,laura@tandembayarea.org
Montalvin Elementary,"300 Christine Dr., San Pablo, CA 94806",Lucy Parada,Green,lucy@tandembayarea.org
Monument First 5 Center,"1736 Clayton Road, Concord, CA 94520",Lucy Parada,Green,lucy@tandembayarea.org
Ms. Trish's Day Care and Preschool,"1723 Berrywood Ct., Concord, CA 94521",Laura Rodriguez,Green,laura@tandembayarea.org
Murphy Elementary,"4350 Valley View Road, El Sobrante, CA 94803",Lucy Parada,Green,lucy@tandembayarea.org
Nystrom Elementary,"230 Harbour Way S, Richmond, CA 94804",Lucy Parada,Green,lucy@tandembayarea.org
Parkside Elementary,"985 W. 17th St., Pittsburg, CA 94565",Laura Rodriguez,Green,laura@tandembayarea.org
Peres Elementary,"719 5th St., Richmond, CA 94801",Lucy Parada,Green,lucy@tandembayarea.org
